fid,color_2,name,population,white,blk_afam,amind_akna,asian,nathaw_pac,other_race,twoormore,hisp_lat,male,female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,geodata_eg,pop_dens,pop_chng,hh_chng,avehhsize,created_us,created_da,last_edite,last_edi_1,shape_star,shape_stle,SHAPE__Length,SHAPE__Area
189,1,Pen Lucy,3078,152,2838,16,4,3,20,45,43,1383,1695,245,265,117,140,331,455,384,826,315,680,211,75,86,38,383,201,1483,1250,438,812,233,160,24,49,0.17157715,17939.4508092,-184,-62,2.43440008, ,, ,,4783277.52954,9278.92304964,3659.08674457139,743944.994240233
190,1,Penn North,1846,19,1780,3,5,0,4,35,10,849,997,153,154,82,95,201,228,243,467,223,392,109,51,54,15,229,95,1074,686,244,442,388,75,6,307,0.13520164,13653.6800368,-496,-164,2.69095993, ,, ,,3769190.45996,8974.81799178,3537.70910846388,585768.956997451
191,3,Penn-Fallsway,6423,967,5374,5,9,3,52,13,147,5866,557,9,25,7,107,1524,1916,1434,1352,49,0,0,0,0,0,0,0,5,1,0,1,4,4,0,0,0.13446333,47767.6694277,0,0,1, ,, ,,3748607.56427,8958.02482747,3532.65393445471,582331.597256148
192,5,Penrose/Fayette Street Outreach,3266,41,3167,11,2,0,4,41,22,1554,1712,203,278,131,151,364,346,341,926,526,737,202,43,106,23,429,167,1579,1174,540,634,405,63,16,326,0.35292928,9253.97836011,-542,-132,2.77256989, ,, ,,9839064.52368,17648.9040774,6951.10835628743,1528187.12171196
193,1,Perkins Homes,1649,26,1584,12,0,0,5,22,16,645,1004,200,305,94,98,194,265,151,279,63,411,32,15,24,10,355,282,636,614,3,611,22,16,0,6,0.03706349,44491.2210205,95,-44,2.68566989, ,, ,,1033266.7132,4083.6537736,1609.11094499088,160470.048728352
194,3,Perring Loch,3014,116,2839,6,9,0,9,35,28,1327,1687,178,236,113,122,308,303,339,921,494,797,411,89,48,15,338,120,1164,1124,1005,119,40,4,8,28,0.21869692,13781.6293644,-108,32,2.68148994, ,, ,,6096896.04022,10666.4577319,4204.80415347393,948597.88521267
195,1,Pimlico Good Neighbors,1102,30,1048,0,3,0,12,9,12,517,585,60,82,46,42,118,90,117,310,237,248,87,21,28,12,133,51,506,449,233,216,57,11,5,41,0.29570385,3726.70149703,-67,-37,2.41870999, ,, ,,8243717.38184,11944.1273976,4707.41744607214,1282634.78880839
196,5,Pleasant View Gardens,713,7,699,1,0,0,2,4,4,266,447,53,68,28,41,77,79,57,164,146,176,26,11,11,1,139,67,352,331,23,308,21,3,0,18,0.04600013,15499.9540726,-262,-61,2.15407991, ,, ,,1282405.07007,4876.43564756,1921.16087415792,199194.287408024
197,5,Poppleton,3105,74,2980,8,4,0,8,31,25,1388,1717,267,372,134,149,313,406,295,803,366,674,111,39,60,26,503,305,1625,1263,209,1054,362,89,5,268,0.18214708,17046.6626935,-146,-27,2.33729004, ,, ,,5077949.11481,9329.03789928,3674.54356474038,788697.033631174
198,5,Port Covington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33193435,0,0,0,0, ,, ,,9253761.59015,21963.7685756,8654.03217867224,1436141.7840014
199,1,Pulaski Industrial Area,123,76,25,0,1,0,16,5,27,62,61,11,6,3,4,14,29,11,27,18,30,15,4,3,2,12,6,184,55,28,27,129,11,3,115,1.96771433,62.5090736,41,19,2.23636007, ,, ,,54856507.7926,63974.8655628,25218.5350000482,8522590.8585432
200,3,Purnell,849,26,809,3,5,0,2,4,8,366,483,73,117,36,33,86,217,122,140,25,214,77,38,22,17,115,84,341,325,17,308,16,11,0,5,0.03875637,21906.071274,152,59,2.61230993, ,, ,,1080461.51361,6216.1956489,2449.02553730858,167952.867282876
201,2,Radnor-Winston,684,419,230,1,11,0,5,18,22,312,372,39,72,21,14,94,44,107,193,100,150,101,49,8,3,41,24,239,229,163,66,10,3,2,5,0.07858822,8703.59402897,81,-30,2.54585003, ,, ,,2190905.18933,6307.96689648,2488.23498294003,340847.592507588
202,3,Ramblewood,1705,100,1568,3,10,0,0,24,9,776,929,83,140,82,68,180,215,199,570,168,449,234,78,37,11,178,78,686,654,560,94,32,5,17,10,0.15585434,10939.7014838,-315,-110,2.60702991, ,, ,,4344952.36774,8775.58337132,3462.53205831945,676225.189049552
203,4,Reisterstown Station,1968,131,1700,8,26,2,52,49,116,898,1070,113,144,65,83,210,285,246,602,220,483,203,69,44,14,236,88,912,840,349,491,72,57,5,10,0.45328545,4341.63504548,-23,8,2.32261991, ,, ,,12636822.5703,18538.7785222,7314.36173564044,1966148.80367456
204,3,Remington,2458,1440,643,8,213,0,63,91,113,1279,1179,120,155,71,70,394,608,323,533,184,463,232,76,70,27,161,69,1250,1072,521,551,178,70,32,76,0.24541272,10015.780656,157,100,2.29291009, ,, ,,6841686.67804,12677.83159,5002.67553528178,1063504.8069999
205,5,Reservoir Hill,6140,522,5415,30,22,0,23,128,112,2862,3278,465,557,207,200,596,958,786,1857,514,1280,390,129,168,61,722,416,3840,2904,685,2219,936,393,114,429,0.30460629,20157.167167,-761,-166,2.10606002, ,, ,,8491902.15472,13876.2896245,5465.39574733831,1319780.5704027
206,3,Richnor Springs,676,6,649,8,2,0,0,11,2,288,388,38,70,26,27,55,83,80,185,112,164,53,16,18,3,93,36,297,256,169,87,41,24,2,15,0.03340118,20238.8004079,17,-6,2.64063, ,, ,,931167.986023,4392.3898666,1730.99108862201,144853.631436047
207,2,Ridgely's Delight,884,578,203,3,66,1,9,24,32,453,431,33,21,6,11,162,388,101,123,39,114,78,21,9,4,27,10,477,416,147,269,61,26,3,32,0.04905133,18021.9360179,-44,-5,2.125, ,, ,,1367467.23499,5157.61952025,2033.54751818181,212350.923972538
208,3,Riverside,5671,5275,122,6,143,2,33,90,159,2847,2824,301,161,38,44,690,2163,867,987,420,1096,873,257,76,18,147,42,3116,2820,1799,1021,296,97,85,114,0.29520816,19210.1731659,212,204,2.00921988, ,, ,,8229898.43073,14636.8384991,5765.94415838892,1277585.44286729
209,1,Rognel Heights,1695,20,1632,9,6,0,5,23,24,767,928,73,116,53,71,148,146,212,462,414,463,185,38,54,9,224,76,724,668,529,139,56,18,12,26,0.16992194,9975.16825135,-459,-114,2.52694988, ,, ,,4737133.02698,8701.43171871,3429.88963172943,735870.593309379
210,4,Roland Park,5269,4141,480,23,465,1,48,111,170,2427,2842,197,409,148,125,386,700,613,1344,1347,1062,936,402,31,16,95,44,2391,2188,1190,998,203,118,14,71,0.95749711,5502.88867003,573,-61,2.21891999, ,, ,,26693380.6643,34818.7825672,13738.2208161432,4152822.96493908
211,3,Rosebank,394,191,175,4,4,0,2,18,8,181,213,19,28,9,7,32,72,71,122,34,85,50,18,10,6,25,13,233,204,103,101,29,17,0,12,0.06613982,5957.07686225,-47,-33,1.91175997, ,, ,,1843865.0224,7003.37902468,2764.23923681878,286963.731095122
212,4,Rosemont,3102,17,3021,5,3,0,10,46,22,1452,1650,301,399,167,151,327,428,292,741,296,710,163,54,98,26,449,238,1233,1031,468,563,202,76,16,110,0.17417469,17809.7052154,-35,-88,3.00872993, ,, ,,4855692.43463,8937.80272923,3525.02000402644,754458.974925433
213,2,Rosemont East,1871,724,1032,19,30,1,10,55,28,882,989,78,172,75,94,152,273,245,553,229,446,235,92,47,25,164,82,888,808,472,336,80,28,7,45,0.2520888,7421.9875533,-19,-43,2.3155899, ,, ,,7027804.5307,11961.6042059,4716.43606049975,1093523.60859614
214,1,Rosemont Homeowners/Tenants,1460,14,1413,3,0,0,9,21,11,679,781,102,120,62,79,157,137,153,431,219,335,100,23,46,16,189,67,635,497,288,209,138,44,4,90,0.06302283,23166.2078656,-284,-94,2.93359994, ,, ,,1756968.65973,7028.55280827,2766.81104595647,272913.709992815
215,2,Sabina-Mattfeldt,172,156,5,0,6,0,0,5,2,79,93,6,14,5,1,6,20,38,54,28,43,35,13,0,0,8,6,92,86,74,12,6,0,5,1,0.11814473,1455.841437,-21,-6,2, ,, ,,3293672.99072,10305.5286239,4069.9860014628,512648.772559313
216,3,Saint Agnes,671,325,322,5,4,0,5,10,12,307,364,21,33,22,15,39,46,75,184,236,88,48,17,12,8,28,14,307,299,104,195,8,2,1,5,0.08329936,8055.28347013,42,53,1.76923, ,, ,,2322243.7348,6943.97301528,2735.73360356763,360517.234668769
217,5,Saint Helena,602,496,55,6,0,5,18,22,41,276,326,43,43,21,22,60,91,81,174,67,142,80,27,16,11,46,20,251,230,144,86,21,8,6,7,0.05670624,10616.1155161,62,16,2.61738991, ,, ,,1580872.93243,6293.11388103,2481.22553900871,245327.382568907
218,4,Saint Josephs,2032,35,1940,4,4,0,7,42,16,895,1137,125,191,94,81,193,233,203,585,327,517,154,38,63,15,300,105,848,720,507,213,128,42,19,67,0.13974825,14540.4320311,-237,-82,2.82222008, ,, ,,3895942.16162,9237.95445987,3641.6115002929,605012.4683558
219,2,Saint Paul,107,98,6,0,0,0,0,3,3,55,52,9,14,5,3,8,19,16,24,9,23,13,9,3,1,7,2,49,41,20,21,8,3,0,5,0.10368359,1031.98584662,-61,-11,2.60976004, ,, ,,2890521.1026,8150.34949817,3210.54357597951,448660.444491314
220,5,Sandtown-Winchester,8534,95,8304,7,20,0,13,95,51,3747,4787,694,886,352,429,997,1075,1023,2272,806,1901,398,139,233,84,1270,660,4096,3053,1186,1867,1043,156,34,853,0.40652175,20992.7262084,-720,-215,2.71535992, ,, ,,11333130.8926,14215.8061631,5604.67849171492,1760865.7259681
221,2,South Baltimore,3450,3070,195,9,69,1,47,59,138,1851,1599,135,107,40,49,536,1388,450,532,213,558,395,108,74,23,89,31,1787,1585,911,674,202,73,51,78,0.12980718,26577.8807513,-443,29,2.16719007, ,, ,,3618802.27277,7843.05332092,3092.01379661245,561752.90662002
222,3,Seton Business Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39103829,0,0,0,0, ,, ,,10901478.2615,16335.325213,6445.57742321725,1695803.24553109
223,4,Seton Hill,1249,168,1036,5,14,0,1,25,30,513,736,104,106,33,49,139,204,142,354,118,248,62,20,15,3,171,116,731,646,100,546,85,49,8,28,0.07455378,16753.006214,-116,19,1.90711998, ,, ,,2078431.8537,6752.29900658,2662.02911768424,322868.887159569
224,5,Sharp-Leadenhall,822,221,561,1,18,0,2,19,12,390,432,74,83,29,36,145,190,81,134,50,172,44,14,13,6,115,82,376,350,87,263,26,10,6,10,0.06906592,11901.6727092,34,40,2.3485701, ,, ,,1925439.70013,5659.97934019,2230.74161246534,298935.613130736
225,4,Shipley Hill,2110,56,2008,2,8,2,3,31,9,991,1119,183,207,73,120,237,262,243,558,227,487,123,47,71,20,293,150,1097,724,254,470,373,47,24,302,0.18235058,11571.1173564,-344,-84,2.91436004, ,, ,,5083622.16815,11741.3227921,4625.91620558916,789471.759543037
226,3,South Clifton Park,737,5,715,5,0,0,2,10,4,334,403,43,69,34,32,77,69,90,204,119,169,47,16,30,9,92,23,342,253,152,101,89,18,10,61,0.09437542,7809.23676145,-480,-124,2.91303992, ,, ,,2631025.18744,9645.48540728,3796.7837253519,408901.778051337
227,1,Spring Garden Industrial Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27022408,0,0,0,0, ,, ,,7533384.94983,16934.675652,6676.81171226399,1169301.09870421
228,3,Stadium Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16416508,0,0,0,0, ,, ,,4576641.49292,10097.1046717,3982.24844524782,710618.561182346
229,1,Stonewood-Pentwood-Winston,1405,147,1208,4,7,0,10,29,31,540,865,58,73,28,36,600,138,93,217,162,228,96,21,22,7,110,36,351,322,237,85,29,16,3,10,0.09327047,15063.7170801,555,6,2.66459989, ,, ,,2600221.12097,6890.19420371,2717.63801669664,404507.700383679
230,5,Taylor Heights,365,268,67,4,9,0,13,4,28,187,178,15,25,6,11,40,53,52,110,53,93,58,17,4,2,31,9,158,153,113,40,5,1,2,2,0.19123303,1908.66603587,41,16,2.38562011, ,, ,,5331249.73413,10341.7477925,4080.30849403649,829848.70181061
231,3,Ten Hills,1416,529,792,1,30,5,15,44,40,673,743,81,102,55,46,152,231,182,427,140,347,228,94,25,15,94,52,683,649,278,371,34,9,7,18,0.33319536,4249.75904743,-178,-36,2.18181991, ,, ,,9288916.39575,14038.4489996,5531.23971560662,1442597.72723456
232,4,The Orchards,494,433,32,2,19,0,1,7,9,241,253,33,69,15,19,12,18,74,179,75,154,135,65,4,1,15,10,197,191,187,4,6,0,2,4,0.21114478,2339.62684403,33,3,2.58639001, ,, ,,5886355.14526,12794.1524694,5048.92720926444,916222.114409651
233,1,Towanda-Grantley,1322,17,1284,4,0,0,1,16,6,638,684,86,116,41,57,151,149,171,389,162,320,92,18,43,11,185,82,613,460,209,251,153,39,10,104,0.13982165,9454.90193883,-88,-30,2.79999995, ,, ,,3897988.32507,9571.92500596,3774.40183697898,606192.258919213
234,2,Tremont,958,58,882,2,3,2,2,9,4,434,524,59,86,40,31,137,154,104,279,68,247,92,27,22,9,133,68,422,389,204,185,33,18,2,13,0.03521631,27203.3026657,-37,-4,2.46271991, ,, ,,981770.51123,4252.06748166,1676.89040879079,152452.949012996
235,3,Tuscany-Canterbury,3413,2380,153,1,790,1,21,67,122,1609,1804,102,48,9,18,803,808,317,630,678,568,490,105,22,5,56,17,2370,2160,763,1397,210,115,21,74,0.14552273,23453.3803561,-34,-204,1.58009004, ,, ,,4056924.72119,9288.31099276,3665.06238333749,630941.439513443
236,3,Union Square,1187,323,781,13,19,0,14,37,37,654,533,63,86,31,39,118,200,198,370,82,194,95,32,27,10,72,42,738,446,188,258,292,69,40,183,0.06631154,17900.3532826,-138,-94,2.30716991, ,, ,,1848652.25317,5892.06914223,2320.40513461471,287093.421839425
237,1,University Of Maryland,387,204,93,2,77,0,2,9,12,197,190,5,6,3,3,101,183,38,42,6,23,14,1,2,2,7,3,287,229,4,225,58,25,0,33,0.15100451,2562.83726472,-828,-109,1.35371005, ,, ,,4209747.48419,10060.5560054,3966.77154839156,653836.340466952
238,5,Uplands,820,15,790,1,6,0,2,6,10,354,466,54,75,32,37,79,89,90,255,109,208,93,32,11,5,104,39,325,301,240,61,24,4,7,13,0.19784931,4144.56834652,-1703,-838,2.72425007, ,, ,,5515700.22363,9921.97591854,3911.36056072781,856659.792528164
239,2,Upper Fells Point,3851,2904,264,13,142,1,387,140,832,1994,1857,227,139,50,55,503,1298,635,666,278,678,444,167,101,27,133,55,2157,1797,933,864,360,112,89,159,0.12729489,30252.5872805,-338,-89,2.14301991, ,, ,,3548763.87781,8691.7364505,3423.95001701261,551138.466966976
240,3,Upton,5746,78,5546,13,8,3,20,78,73,2508,3238,559,750,251,262,634,700,584,1353,653,1191,201,85,133,55,857,538,3232,2406,329,2077,826,149,20,657,0.29300458,19610.614402,-575,-257,2.37157011, ,, ,,8168466.44037,15623.0042484,6160.60027287419,1269080.43984681
241,1,Villages Of Homeland,562.3255,428.8685,66.3225,0.5235,50.9465,0,4.047,11.6175,20.7585,210.102,352.2235,18.7585,22.7585,3.5235,9.047,181.666,88.6045,72.3225,125.175,40.47,71.658,49.47,19.188,3,3,19.188,11.141,316.995,289.619,165.0745,124.5445,27.376,14.188,4.5705,8.6175,0.03167454,17753.2283497,312.32598876,115.61900329,1.93792998, ,, ,,883032.241577,3710.25884683,1463.14904190617,137388.699795185
242,2,Violetville,2506,2056,307,8,42,4,24,65,72,1094,1412,145,140,81,71,159,376,289,549,696,530,352,126,61,25,117,56,1156,1083,708,375,73,23,22,28,0.59282329,4227.22929121,-171,-15,2.13111996, ,, ,,16526898.8563,17886.6462017,7047.04751763809,2565140.76441749
243,3,Wakefield,1772,68,1643,4,13,0,17,27,33,713,1059,135,154,54,70,225,266,185,465,218,384,89,34,44,22,251,155,1037,948,24,924,89,75,1,13,0.27299516,6490.95736517,0,-22,1.86919999, ,, ,,7610638.0647,14423.9415287,5683.72168487711,1182789.78190547
244,5,Walbrook,2443,37,2374,3,5,0,1,23,19,1154,1289,138,203,79,135,252,262,268,713,393,532,164,43,60,22,308,123,1151,916,466,450,235,103,29,103,0.19943231,12249.7703386,-367,-181,2.58951997, ,, ,,5559831.48096,11191.8165769,4409.28279303975,864034.617235062
245,2,Waltherson,6980,1982,4683,13,78,1,67,156,130,3292,3688,421,624,298,315,650,946,1033,2096,597,1662,933,365,166,71,563,275,2953,2614,2024,590,339,86,69,184,0.73918769,9442.79788403,172,5,2.66106009, ,, ,,20607287.7974,22365.1961846,8820.91148256203,3205262.41980078
246,5,Washington Hill,1969,590,1046,17,124,2,122,68,248,939,1030,121,132,55,38,211,483,299,493,137,373,166,57,39,11,168,89,1060,914,372,542,146,83,20,43,0.15719587,12525.7739492,57,103,2.09190011, ,, ,,4382351.96063,10205.1802729,4020.76217558513,680666.318125567
247,1,Washington Village/Pigtown,5116,2034,2611,12,265,1,60,133,177,2550,2566,380,409,141,185,553,1130,738,1155,425,1089,450,167,139,48,500,269,2720,2093,1028,1065,627,159,108,360,0.32680271,15654.70476,-294,55,2.39895009, ,, ,,9110700.33344,16783.3914429,6612.91221119226,1414680.99437642
248,3,Waverly,2789,431,2219,8,46,1,26,58,71,1296,1493,196,228,111,121,304,461,332,787,249,646,236,80,64,26,346,155,1269,1079,638,441,190,88,22,80,0.15461006,18038.9290164,-386,-10,2.5848, ,, ,,4310264.01361,8555.90988838,3375.96377440344,670231.654336049
249,3,West Arlington,2041,22,1973,6,4,0,16,20,27,951,1090,105,136,69,100,211,195,246,636,343,497,211,58,46,17,240,90,895,757,451,306,138,33,12,93,0.27270878,7484.17399002,-208,-83,2.68032002, ,, ,,7602654.19672,11687.7051579,4607.2236429647,1182433.74711966
250,5,West Forest Park,2408,89,2271,5,4,0,10,29,26,1036,1372,180,217,82,82,272,334,284,633,324,633,203,68,53,20,377,198,1149,1014,388,626,135,63,9,63,0.37241143,6465.96692132,-124,-12,2.37474989, ,, ,,10382193.3328,20554.7944639,8099.9996652311,1613786.79451329
251,5,West Hills,2159,139,1980,1,15,0,5,19,16,931,1228,119,173,91,105,192,235,256,667,321,542,253,91,37,11,252,114,970,936,567,369,34,11,6,17,0.33508615,6443.11899672,2,31,2.30661988, ,, ,,9341628.62201,19743.5052175,7780.71881136635,1451178.62259487
252,5,Westfield,3141,1585,1377,13,42,4,26,94,110,1502,1639,203,284,102,150,233,429,523,890,327,799,470,198,73,29,256,120,1386,1243,989,254,143,31,47,65,0.42892015,7323.04126966,-69,-37,2.51487994, ,, ,,11957559.831,14412.3081342,5684.62977764711,1860779.6962851
253,2,Westgate,2683,709,1882,9,20,1,11,51,30,1268,1415,184,233,90,105,264,430,370,709,298,664,319,120,79,34,266,148,1145,1087,512,575,58,35,7,16,0.33289083,8059.69920067,-191,-58,2.35695004, ,, ,,9280426.74249,18851.3525271,7427.03521868302,1441148.73945007
254,3,Westport,1593,165,1370,8,7,0,7,36,17,715,878,137,203,75,74,186,224,171,367,156,395,88,30,43,17,264,143,696,552,160,392,144,23,10,111,0.4977407,3200.46157083,-591,-172,2.88586997, ,, ,,13876158.9771,23475.0887938,9249.89368885061,2153510.38176889
255,2,Wilson Park,632.3202,13.3254,597.9948,2,7,0,1,11,3,283.463,348.8572,42.6508,54.0926,34.9881,28.5463,73.418,80.418,63.8717,174.8122,79.5225,147.7196,56.0926,15.8836,21.4418,5.2209,70.1852,37.209,258.9974,223.6839,143.8241,79.8598,35.3135,14.2209,2,19.0926,0.09373605,6745.75209613,-53.51060104,-18.42989921,2.8125, ,, ,,2613200.82269,8524.42434575,3360.59784167652,406475.16250056
256,2,Winchester,1420,16,1373,4,0,0,5,22,12,643,777,120,140,64,70,164,189,163,333,177,333,92,32,39,9,202,95,613,492,238,254,121,28,3,90,0.08312807,17082.0753147,-127,-54,2.88617992, ,, ,,2317468.39392,8751.26136424,3448.79369288276,360054.179218826
257,2,Windsor Hills,1552,81,1435,4,3,1,2,26,15,701,851,96,104,69,63,159,151,184,470,256,389,182,58,38,15,169,60,723,618,407,211,105,23,22,60,0.23422538,6626.09647903,-297,-94,2.50809001, ,, ,,6529802.85779,11151.1569403,4397.07115579075,1014937.17068442
258,1,Winston-Govans,1341,74,1218,10,2,0,5,32,26,601,740,99,138,50,67,149,153,178,353,154,288,117,49,25,11,146,64,582,475,271,204,107,32,11,64,0.1132634,11839.658135,-113,-23,2.82315993, ,, ,,3157589.89221,7394.25725593,2916.52524122539,491243.608674914
259,2,Woodberry,1406,953,349,11,31,0,14,48,56,659,747,62,64,18,21,74,311,229,350,277,266,173,47,30,9,63,22,728,615,360,255,113,87,5,21,0.5318207,2643.74813507,295,175,2.00487995, ,, ,,14826251.0665,18239.3677625,7195.42624026411,2305737.1243577
260,1,Woodbourne Heights,1795,48,1674,0,10,0,17,46,38,781,1014,119,129,62,57,242,256,189,551,190,436,178,44,43,16,215,103,853,786,311,475,67,52,3,12,0.13455785,13339.9868277,-10,-12,2.27607989, ,, ,,3751242.67096,7799.11761036,3077.03000240271,583721.985217523
261,2,Woodbourne-McCabe,908,20,864,3,1,0,5,15,10,389,519,75,96,40,45,105,122,102,209,114,211,77,28,24,12,110,49,378,300,178,122,78,12,8,58,0.07515329,12081.971645,-167,-24,3.02666997, ,, ,,2095145.28668,6196.439459,2442.60183602608,325986.832350822
262,1,Woodmere,2080,46,1995,1,7,0,4,27,18,901,1179,111,141,86,98,188,216,251,631,358,555,223,52,49,12,283,103,914,821,571,250,93,25,9,59,0.25838889,8049.88151809,-225,-14,2.52497005, ,, ,,7203440.18927,11826.79635,4662.40280843852,1120533.07325223
263,1,Wyman Park,1141,1016,25,1,74,0,3,22,30,569,572,65,48,18,12,79,312,194,283,130,246,197,66,17,8,32,16,679,610,412,198,69,42,3,24,0.1103614,10338.7589363,-80,-41,1.87048995, ,, ,,3076687.18988,9837.20480498,3882.6751375979,478413.77672168
264,2,Wyndhurst,702,616,31,0,24,0,4,27,24,338,364,42,78,27,21,30,79,131,212,82,166,134,75,9,4,23,12,343,312,182,130,31,11,3,17,0.30378345,2310.8565843,-100,-52,2.25, ,, ,,8468962.82874,12956.265393,5110.45983252646,1317834.8085728
265,5,Yale Heights,2500,196,2202,12,27,2,31,30,41,1128,1372,186,243,106,95,315,391,350,641,173,647,248,87,57,27,342,180,1141,995,488,507,146,73,4,69,0.19212479,13012.3758027,-391,-120,2.51255989, ,, ,,5356110.38776,11988.3766487,4724.00594666784,831551.291518768
266,4,Lower Edmondson Village,446,0,442,0,0,0,0,4,3,188,258,27,51,15,27,50,51,39,127,59,100,23,7,11,5,66,23,169,134,83,51,35,7,5,23,0.02258613,19746.624162,-34,-33,3.32836008, ,, ,,629662.93158,3165.09622239,1247.40092240676,97802.9690837679
267,1,Wilhelm Park,534,401,86,10,12,1,14,10,23,257,277,24,50,18,9,52,92,69,167,53,124,79,24,10,6,35,12,235,215,133,82,20,4,8,8,0.44557997,1198.43806835,30,6,2.48372006, ,, ,,12422006.9657,19040.1923704,7498.22663583664,1928328.73930285
268,5,Edgewood,2399,20,2330,15,1,4,6,23,20,1059,1340,162,248,96,128,291,257,249,624,344,587,186,47,54,16,347,137,922,765,489,276,157,42,17,98,0.10384713,23101.2634872,-229,-66,3.13203001, ,, ,,2895080.3584,7743.99048664,3052.33191044266,449720.074368607
269,5,Evesham Park,709,261,404,2,13,3,5,21,26,334,375,60,58,17,10,106,139,103,180,36,167,73,31,19,8,75,49,360,332,147,185,28,8,3,17,0.07342968,9655.49614788,32,-10,2.11747002, ,, ,,2047093.81342,7080.75324782,2789.80845798249,318620.050994328
270,1,Belvedere,720,234,466,1,4,0,4,11,6,339,381,39,57,24,25,47,114,86,242,86,193,116,36,6,3,71,36,325,292,246,46,33,3,9,21,0.10364187,6946.99905265,0,-15,2.46574997, ,, ,,2889358.04706,7744.10912826,3054.45243078378,449657.810419754
271,4,Wrenlane,628.6798,12.6746,603.0052,4,0,0,1,8,12,286.537,342.1428,51.3492,63.9074,30.0119,35.4537,58.582,80.582,59.1283,161.1878,88.4775,165.2804,54.9074,16.1164,11.5582,3.7791,98.8148,49.791,260.0026,221.3161,146.1759,75.1402,38.6865,5.7791,2,30.9074,0.02884858,21792.3929137,-41.48939895,0.42989999,2.84614992, ,, ,,804249.310669,4099.07186401,1615.1884010667,125104.469402434
272,3,York-Homeland,482.6745,198.1315,239.6775,0.4765,31.0535,0,4.953,8.3825,10.2415,204.898,277.7765,17.2415,24.2415,5.4765,4.953,83.334,40.3955,47.6775,129.825,129.53,54.342,37.53,9.812,3,1,13.812,6.859,322.005,300.381,66.9255,233.4555,21.624,15.812,2.4295,3.3825,0.02343313,20597.9469862,0,0,1.61000001, ,, ,,653275.737671,3294.06123602,1299.50467188582,101642.140966386
273,2,CARE,1151,102,969,1,47,5,10,17,41,518,633,76,84,34,50,109,144,148,287,219,248,77,23,30,13,141,56,693,501,158,343,192,65,20,107,0.08474102,13582.5589072,-714,-207,2.24950003, ,, ,,2362434.80695,6495.2362512,2559.96175275315,366980.982332335
274,4,Downtown West,366,246,48,1,50,0,4,17,21,203,163,2,0,0,0,87,185,54,36,2,34,32,2,1,0,1,0,306,265,2,263,41,27,1,13,0.10969806,3336.43089331,245,183,1.34716999, ,, ,,3058194.19354,8318.29464856,3275.71247390432,474925.745360159
275,1,Belair-Edison,16690,1338,14958,38,81,1,77,197,199,7500,9190,1134,1734,794,873,1825,2251,2145,4675,1259,4157,1457,491,382,155,2318,1191,6710,5986,4107,1879,724,238,104,382,0.82495409,20231.4288208,167,-37,2.78666996, ,, ,,22998308.1718,25209.1506097,9936.42842662058,3575019.97984221
276,4,Four By Four,1261,27,1197,1,3,0,10,23,16,587,674,104,164,65,64,157,175,167,256,109,300,83,35,28,14,189,101,463,391,192,199,72,35,9,28,0.07081031,17808.1410683,-363,-113,3.22505998, ,, ,,1974070.26605,6457.97454112,2543.37781808379,306818.327112593
277,5,Charles Village,8255,4802,1288,19,1686,8,142,310,450,4320,3935,146,58,26,42,3917,1792,731,1086,457,612,454,111,55,12,103,53,4265,3725,619,3106,540,372,30,138,0.26335189,31345.8915316,904,-724,2.21610999, ,, ,,7341800.12585,13989.718067,5521.21954244451,1141361.82034966
278,4,Old Goucher,1046,235,711,6,38,4,19,33,45,593,453,18,25,15,14,72,237,153,393,119,83,30,7,21,7,32,18,405,344,17,327,61,33,4,24,0.05792496,18057.8429965,470,98,1.61627995, ,, ,,1614849.03455,5089.80457269,2006.76487299064,250990.764763792
